old                                      new
d0d17d857009a220ebc2a193cedf22a551c8ca1c d0d17d857009a220ebc2a193cedf22a551c8ca1c
fb54ca7a683b2837a54f1d4231bc36c634d3053a fb54ca7a683b2837a54f1d4231bc36c634d3053a
d8368dcd14b6bf2c2c624da0d1e806ade58fdd91 7efc5e3bec7a472b1d1f1a849df0549f96f31946
72071250c50a9205b838322e1c5fe0ae9b0a1291 4b1c26bb0744a98b39be339adf03844dcfdedea1
8272b464b8aaabfccfbdeac22552680cf668d757 fae8a7f877838a3d615a6c19832719639c964e2f
86563d8906349d153ed031a82295ce0591fa28d9 bc27d16ef0ddd2a2129cd7f052d2c235dffd5888
007768d0545951649d514d09eab0e0e0f8bb7ec7 f0cf1d4db8b67cead7665027062d03ae86995beb
1b0534b6489b14d137fba7cb3937a2438a724b06 a20984da6c987687abb809419f4c9f08e2413805
63767b626708e69cde275534f2de2a7894d7b6ea e7804aa1b76fe6b9aea43eb6a1ec2c9364b3f008
7b22b0aca5650f6a30c6cb4667002df694a56255 4a2a985ebba4acc590a456e134a62b10ac02eb52
cc132b514251504199a2d38d24142735339669eb 0a2358efc4dfa70dc50484b8f34536c656d4e080
9502f6a6e18ff880ebd1c755059a07c165f92bd4 f9d089d9216f3507e2cb27d554fcbb4a90232cdd
3224829921a9e756cc658a4c349a7a72df13fee2 5a2d1aa4a1b6306c09df4762ba0877529ab2144c
dd2c01be5b9fc6ef04b56c4efd6c2023f3aa4682 4e45854446030fce2c93b25891d5875b8c71278c
ff2e1d75328b397e7789fb1a76baac1e0a5ad505 2feaa899a6d2181a0b9e9827c9a4469447cbe847
4ad1c02cc73629779049499ed1e39f578da5ca46 9b74cf65883d4e2dfcc65de649bfe4d4d1d58153
ca0105235c3a73db3d27b59d039bf8632ca897fd d6d68b377f8e39068d020122747bbcf041368094
9603b05e4aa1b63a6e1a4da47296312393e691a6 c2f21bd62a2916ffffd20a6d376af11c0968a7e1
5fc2a6735aa682f7c54abe2e9d244f72fec738ed 65a81ce6d9653d569dab1032f7b72396f8681a53
295a97b935dbb3be95b3667c0d9d0082d2d1b7fe 0d12316a63abc79ce9bc8261c00caa251ac082a8
c882296fdcdfce4b404e22210481c8a7f96e335d 60bdc12db8b4bcbd4d9ab7fdd511923c11e2068c
c80210a9da28fa2f97798cc98d8289f4558a431f 987de9452696dab4a3d41bb903222969b238f1da
855b32f0a3f9718a1612ed78d824b99ef81a433b aac85e457341e3c19809a06bfa754fcf1c585135
f1acf372e0bf3a7a087ef03d973af51d26d0ff60 d1a5dc176972333af16eea5842f3560cc3229074
6e40d457ea046940f0b42d649d2b3627373d4b72 db823a89d87d4ac0e003a2605c0002ec8fdb8487
1ca84b0742e6d58bc073abb6f2948cf9723465c7 d608c4e59c0be5d5daf1405b01d3f020287405f4
f223f1b816d0f4ea09e48101468c19f40342a93a b4c454ff9ae5ec927deed739a11978fca20e7df6
e46c4dfe6144373fbb3b1b4e813efe36905a1d1c 61820b56e6e484d809a6db5f4ffefe941e5f119e
672cb443818858cb3e2fc493b711698957d46b8c 575455ec00ab19b0bfed29e54e66b6decb853bae
f2cacad384d53e0f35555d0a22d02ce10a2e91ba d6873a6a46c6e59bc86e8e45dd240ee020fa26fa
b91f61fcbccdc60675177c72a8cd8ed0e81f0a14 e5f5be2ba5329a428e7246f807b780ee983150f8
09e82580124a5c2735915cf7003bfd296118590f 388e46c797c73bb55b8fdf21dec3b9a9f794eec3
2371bbe47fbcb024509503f169fe3844071922af 74ec33cd107baa772c95a7f8342b809a8621a36b
aacfdb5dd03cd4dc1e50b7e7d65d0e4194df893f 5f7fdd2fe71f013af53b651c46bb2a77914ce3f7
162aaf83683308cc73e5aaf70e0ff940565a0cf1 d62f0a7fd20d787082a6da97bd20020194d16c64
a594f506c15092f34063c6c4936971d574291140 767687c241d366e0bba2ad82ac9a6071d0aab938
65cb6b8fee904c2107f303231dd42835336947c3 598eeebaf0d75558f57ca066023018f2eb631bfb
3e93418e40d84d52c67755ad5f82913fb432f716 a408a3d1bd0ded8a616bdbe3e384b9404647f69f
74dee1c463a1fa4d747741258dc9a16b7e236b84 2e805d031054720a7dd6a7e22c54c8be5379155a
2ce0e879af64a647a80c5a7647b33ee8ff1c099d eaf3255e148cb39e87c7a39b0528114ea2f7d9ae
4b41864d087aae2480fe124268957a69e88a87f2 08b06babecfd8997b5752bcf24c512584524b9e8
c65ec837d13363864583432238e6c2a87ce88a46 7be252e6c009655cb7233923880d5ded1159311e
5d4b91441a6b4e853b8e1631a403f5ba119ba317 b9dee572b9768d2ba5800c12f56bb9c801f6ec4b
f2f8a6cbabf661f0beb33b5b8915325dbdd0050f 975b4243809ab25ec20eab4cedaf30dfe46c74d1
c8a37b68edf7dcb69c791406f3924fd0c4baa934 49cc06328bb843cfda4e00971e83c2d73ca2161e
e0151fbae744c9544c174796d9a562a882504feb e9abfdecd75ff2f538be9092165830eb2c6c80cd
